record_id,event_date,asset_id,business_key,event_type,numeric_value,source_medium,schema_version,required_value_valid
REC-20260301-WEB_EVENTS-044,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-044,standard,231.17,governed/source,v1,1
REC-20260301-WEB_EVENTS-045,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-045,standard,86.05,governed/source,v1,1
REC-20260301-WEB_EVENTS-046,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-046,standard,232.87,governed/source,v1,1
REC-20260301-WEB_EVENTS-047,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-047,standard,111.01,governed/source,v1,1
REC-20260301-WEB_EVENTS-048,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-048,standard,173.58,governed/source,v1,1
REC-20260301-WEB_EVENTS-049,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-049,standard,395.6,governed/source,v1,1
REC-20260301-WEB_EVENTS-050,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-050,standard,108.77,governed/source,v1,1
REC-20260301-WEB_EVENTS-051,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-051,standard,288.48,governed/source,v1,1
REC-20260301-WEB_EVENTS-052,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-052,standard,334.94,governed/source,v1,1
REC-20260301-WEB_EVENTS-053,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-053,standard,320.67,governed/source,v1,1
REC-20260301-WEB_EVENTS-054,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-054,standard,301.72,governed/source,v1,1
REC-20260301-WEB_EVENTS-055,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-055,standard,26.59,governed/source,v1,1
REC-20260301-WEB_EVENTS-056,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-056,standard,178.9,governed/source,v1,1
REC-20260301-WEB_EVENTS-057,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-057,purchase,209.01,governed/source,v1,1
REC-20260301-WEB_EVENTS-058,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-058,standard,286.33,governed/source,v1,1
REC-20260301-WEB_EVENTS-059,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-059,standard,489.88,governed/source,v1,1
REC-20260301-WEB_EVENTS-060,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-060,standard,154.97,governed/source,v1,1
REC-20260301-WEB_EVENTS-061,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-061,standard,262.31,governed/source,v1,1
REC-20260301-WEB_EVENTS-062,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-062,standard,245.9,governed/source,v1,1
REC-20260301-WEB_EVENTS-063,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-063,standard,63.28,governed/source,v1,1
REC-20260301-WEB_EVENTS-064,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-064,standard,46.85,governed/source,v1,1
REC-20260301-WEB_EVENTS-065,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-065,standard,353.92,governed/source,v1,1
REC-20260301-WEB_EVENTS-066,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-066,standard,119.19,governed/source,v1,1
REC-20260301-WEB_EVENTS-067,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-067,standard,407.54,governed/source,v1,1
REC-20260301-WEB_EVENTS-068,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-068,standard,97.01,governed/source,v1,1
REC-20260301-WEB_EVENTS-069,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-069,standard,287.06,governed/source,v1,1
REC-20260301-WEB_EVENTS-070,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-070,standard,33.37,governed/source,v1,1
REC-20260301-WEB_EVENTS-071,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-071,standard,123.4,governed/source,v1,1
REC-20260301-WEB_EVENTS-072,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-072,standard,173.2,governed/source,v1,1
REC-20260301-WEB_EVENTS-073,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-073,standard,430.99,governed/source,v1,1
REC-20260301-WEB_EVENTS-074,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-074,standard,463.42,governed/source,v1,1
REC-20260301-WEB_EVENTS-075,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-075,standard,412.97,governed/source,v1,1
REC-20260301-WEB_EVENTS-076,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-076,purchase,430.69,governed/source,v1,1
REC-20260301-WEB_EVENTS-077,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-077,standard,419.23,governed/source,v1,1
REC-20260301-WEB_EVENTS-078,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-078,standard,146.32,governed/source,v1,1
REC-20260301-WEB_EVENTS-079,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-079,standard,138.5,governed/source,v1,1
REC-20260301-WEB_EVENTS-080,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-080,standard,376.13,governed/source,v1,1
REC-20260301-WEB_EVENTS-081,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-081,standard,171.08,governed/source,v1,1
REC-20260301-WEB_EVENTS-082,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-082,standard,403.85,governed/source,v1,1
REC-20260301-WEB_EVENTS-083,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-083,standard,409.94,governed/source,v1,1
REC-20260301-WEB_EVENTS-084,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-084,standard,449.69,governed/source,v1,1
REC-20260301-WEB_EVENTS-085,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-085,standard,236.64,governed/source,v1,1
REC-20260301-WEB_EVENTS-086,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-086,standard,219.85,governed/source,v1,1
REC-20260301-WEB_EVENTS-087,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-087,standard,486.64,governed/source,v1,1
REC-20260301-WEB_EVENTS-088,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-088,standard,322.82,governed/source,v1,1
REC-20260301-WEB_EVENTS-089,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-089,standard,279.01,governed/source,v1,1
REC-20260301-WEB_EVENTS-090,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-090,standard,368.67,governed/source,v1,1
REC-20260301-WEB_EVENTS-091,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-091,standard,275.71,governed/source,v1,1
REC-20260301-WEB_EVENTS-092,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-092,standard,26.78,governed/source,v1,1
REC-20260301-WEB_EVENTS-093,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-093,standard,402.42,governed/source,v1,1
REC-20260301-WEB_EVENTS-094,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-094,standard,133.93,governed/source,v1,1
REC-20260301-WEB_EVENTS-095,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-095,purchase,89.47,governed/source,v1,1
REC-20260301-WEB_EVENTS-096,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-096,standard,205.81,governed/source,v1,1
REC-20260301-WEB_EVENTS-097,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-097,standard,393.39,governed/source,v1,1
REC-20260301-WEB_EVENTS-098,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-098,standard,449.29,governed/source,v1,1
REC-20260301-WEB_EVENTS-099,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-099,standard,356.08,governed/source,v1,1
REC-20260301-CRM_LEADS-000,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-000,standard,123.01,governed/source,v1,1
REC-20260301-CRM_LEADS-001,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-001,standard,299.57,governed/source,v1,1
REC-20260301-CRM_LEADS-002,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-002,standard,205.87,governed/source,v1,1
REC-20260301-CRM_LEADS-003,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-003,standard,379.41,governed/source,v1,1
REC-20260301-CRM_LEADS-004,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-004,standard,472.53,governed/source,v1,1
REC-20260301-CRM_LEADS-005,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-005,standard,84.09,governed/source,v1,1
REC-20260301-CRM_LEADS-006,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-006,standard,136.39,governed/source,v1,1
REC-20260301-CRM_LEADS-007,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-007,standard,481.53,governed/source,v1,1
REC-20260301-CRM_LEADS-008,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-008,standard,487.89,governed/source,v1,1
REC-20260301-CRM_LEADS-009,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-009,standard,230.97,governed/source,v1,1
REC-20260301-CRM_LEADS-010,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-010,standard,275.31,governed/source,v1,1
REC-20260301-CRM_LEADS-011,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-011,standard,32.6,governed/source,v1,1
REC-20260301-CRM_LEADS-012,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-012,standard,122.49,governed/source,v1,1
REC-20260301-CRM_LEADS-013,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-013,standard,132.38,governed/source,v1,1
REC-20260301-CRM_LEADS-014,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-014,standard,194.48,governed/source,v1,1
REC-20260301-CRM_LEADS-015,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-015,standard,342.22,governed/source,v1,1
REC-20260301-CRM_LEADS-016,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-016,standard,383.09,governed/source,v1,1
REC-20260301-CRM_LEADS-017,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-017,standard,487.1,governed/source,v1,1
REC-20260301-CRM_LEADS-018,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-018,standard,74.05,governed/source,v1,1
REC-20260301-CRM_LEADS-019,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-019,standard,370.09,governed/source,v1,1
REC-20260301-CRM_LEADS-020,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-020,standard,482.45,governed/source,v1,1
REC-20260301-CRM_LEADS-021,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-021,standard,419.84,governed/source,v1,1
REC-20260301-CRM_LEADS-022,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-022,standard,227.48,governed/source,v1,1
REC-20260301-CRM_LEADS-023,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-023,standard,188.56,governed/source,v1,1
REC-20260301-CRM_LEADS-024,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-024,standard,119.4,governed/source,v1,1
REC-20260301-CRM_LEADS-025,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-025,standard,123.76,governed/source,v1,1
REC-20260301-CRM_LEADS-026,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-026,standard,20.15,governed/source,v1,1
REC-20260301-CRM_LEADS-027,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-027,standard,354.53,governed/source,v1,1
REC-20260301-CRM_LEADS-028,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-028,standard,357.59,governed/source,v1,1
REC-20260301-CRM_LEADS-029,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-029,standard,381.71,governed/source,v1,1
REC-20260301-CRM_LEADS-030,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-030,standard,163.6,governed/source,v1,1
REC-20260301-CRM_LEADS-031,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-031,standard,452.2,governed/source,v1,1
REC-20260301-CRM_LEADS-032,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-032,standard,411.85,governed/source,v1,1
REC-20260301-CRM_LEADS-033,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-033,standard,88.6,governed/source,v1,1
REC-20260301-CRM_LEADS-034,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-034,standard,348.06,governed/source,v1,1
REC-20260301-CRM_LEADS-035,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-035,standard,22.89,governed/source,v1,1
REC-20260301-CRM_LEADS-036,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-036,standard,397.91,governed/source,v1,1
REC-20260301-CRM_LEADS-037,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-037,standard,26.74,governed/source,v1,1
REC-20260301-CRM_LEADS-038,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-038,standard,204.87,governed/source,v1,1
REC-20260301-CRM_LEADS-039,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-039,standard,157.34,governed/source,v1,1
REC-20260301-CRM_LEADS-040,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-040,standard,297.83,governed/source,v1,1
REC-20260301-CRM_LEADS-041,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-041,standard,294.43,governed/source,v1,1
REC-20260301-CRM_LEADS-042,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-042,standard,143.35,governed/source,v1,1
REC-20260301-CRM_LEADS-043,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-043,standard,129.55,governed/source,v1,1
REC-20260301-CRM_LEADS-044,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-044,standard,416.7,governed/source,v1,1
REC-20260301-CRM_LEADS-045,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-045,standard,146.3,governed/source,v1,1
REC-20260301-CRM_LEADS-046,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-046,standard,365.54,governed/source,v1,1
REC-20260301-CRM_LEADS-047,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-047,standard,404.2,governed/source,v1,1
REC-20260301-CRM_LEADS-048,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-048,standard,316.22,governed/source,v1,1
REC-20260301-CRM_LEADS-049,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-049,standard,399.49,governed/source,v1,1
REC-20260301-CRM_LEADS-050,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-050,standard,63.88,governed/source,v1,1
REC-20260301-CRM_LEADS-051,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-051,standard,347.17,governed/source,v1,1
REC-20260301-CRM_LEADS-052,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-052,standard,366.4,governed/source,v1,1
REC-20260301-CRM_LEADS-053,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-053,standard,391.62,governed/source,v1,1
REC-20260301-CRM_LEADS-054,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-054,standard,470.84,governed/source,v1,1
REC-20260301-CRM_LEADS-055,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-055,standard,124.67,governed/source,v1,1
REC-20260301-CRM_LEADS-056,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-056,standard,158.98,governed/source,v1,1
REC-20260301-CRM_LEADS-057,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-057,standard,155.19,governed/source,v1,1
REC-20260301-CRM_LEADS-058,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-058,standard,93.94,governed/source,v1,1
REC-20260301-CRM_LEADS-059,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-059,standard,317.13,governed/source,v1,1
REC-20260301-CRM_LEADS-060,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-060,standard,348.42,governed/source,v1,1
REC-20260301-CRM_LEADS-061,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-061,standard,326.13,governed/source,v1,1
REC-20260301-CRM_LEADS-062,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-062,standard,286.18,governed/source,v1,1
REC-20260301-CRM_LEADS-063,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-063,standard,168.4,governed/source,v1,1
REC-20260301-CRM_LEADS-064,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-064,standard,217.01,governed/source,v1,1
REC-20260301-CRM_LEADS-065,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-065,standard,189.05,governed/source,v1,1
REC-20260301-CRM_LEADS-066,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-066,standard,27.63,governed/source,v1,1
REC-20260301-CRM_LEADS-067,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-067,standard,144.21,governed/source,v1,1
REC-20260301-CRM_LEADS-068,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-068,standard,297.19,governed/source,v1,1
REC-20260301-CRM_LEADS-069,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-069,standard,84.19,governed/source,v1,1
REC-20260301-CRM_LEADS-070,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-070,standard,127.22,governed/source,v1,1
REC-20260301-CRM_LEADS-071,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-071,standard,103.8,governed/source,v1,1
REC-20260301-CRM_LEADS-072,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-072,standard,153.52,governed/source,v1,1
REC-20260301-CRM_LEADS-073,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-073,standard,274.34,governed/source,v1,1
REC-20260301-CRM_LEADS-074,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-074,standard,326.76,governed/source,v1,1
REC-20260301-CRM_LEADS-075,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-075,standard,246.7,governed/source,v1,1
REC-20260301-CRM_LEADS-076,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-076,standard,293.17,governed/source,v1,1
REC-20260301-CRM_LEADS-077,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-077,standard,88.03,governed/source,v1,1
REC-20260301-CRM_LEADS-078,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-078,standard,439.24,governed/source,v1,1
REC-20260301-CRM_LEADS-079,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-079,standard,226.82,governed/source,v1,1
REC-20260301-CRM_LEADS-080,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-080,standard,479.85,governed/source,v1,1
REC-20260301-CRM_LEADS-081,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-081,standard,164.52,governed/source,v1,1
REC-20260301-CRM_LEADS-082,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-082,standard,476.9,governed/source,v1,1
REC-20260301-CRM_LEADS-083,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-083,standard,37.31,governed/source,v1,1
REC-20260301-CRM_LEADS-084,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-084,standard,171.9,governed/source,v1,1
REC-20260301-CRM_LEADS-085,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-085,standard,464.04,governed/source,v1,1
REC-20260301-CRM_LEADS-086,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-086,standard,94.39,governed/source,v1,1
REC-20260301-CRM_LEADS-087,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-087,standard,151.74,governed/source,v1,1
REC-20260301-CRM_LEADS-088,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-088,standard,238.01,governed/source,v1,1
REC-20260301-CRM_LEADS-089,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-089,standard,56.81,governed/source,v1,1
REC-20260301-CRM_LEADS-090,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-090,standard,195.98,governed/source,v1,1
REC-20260301-CRM_LEADS-091,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-091,standard,337.4,governed/source,v1,1
REC-20260301-CRM_LEADS-092,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-092,standard,484.86,governed/source,v1,1
REC-20260301-CRM_LEADS-093,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-093,standard,235.17,governed/source,v1,1
REC-20260301-CRM_LEADS-094,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-094,standard,29.2,governed/source,v1,1
REC-20260301-CRM_LEADS-095,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-095,standard,97.82,governed/source,v1,1
REC-20260301-CRM_LEADS-096,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-096,standard,483.56,governed/source,v1,1
REC-20260301-CRM_LEADS-097,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-097,standard,412.14,governed/source,v1,1
REC-20260301-CRM_LEADS-098,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-098,standard,276.42,governed/source,v1,1
REC-20260301-CRM_LEADS-099,2026-03-01,CRM_LEADS,CRM_LEADS-20260301-099,standard,190.43,governed/source,v1,1
REC-20260301-COMMERCE_ORDERS-000,2026-03-01,COMMERCE_ORDERS,COMMERCE_ORDERS-20260301-000,standard,306.13,governed/source,v1,1
REC-20260301-COMMERCE_ORDERS-001,2026-03-01,COMMERCE_ORDERS,COMMERCE_ORDERS-20260301-001,standard,346.26,governed/source,v1,1
REC-20260301-COMMERCE_ORDERS-002,2026-03-01,COMMERCE_ORDERS,COMMERCE_ORDERS-20260301-002,standard,324.61,governed/source,v1,1
REC-20260301-COMMERCE_ORDERS-003,2026-03-01,COMMERCE_ORDERS,COMMERCE_ORDERS-20260301-003,standard,260.48,governed/source,v1,1
REC-20260301-COMMERCE_ORDERS-004,2026-03-01,COMMERCE_ORDERS,COMMERCE_ORDERS-20260301-004,standard,107.6,governed/source,v1,1
