month,sku_id,market,channel,forecast_locked_at,forecast_method,budget_units,budget_revenue_eur,forecast_basis_units,forecast_units,forecast_revenue_eur
2025-01,SKU-13,North,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,845,2725.63,814,815,2628.86
2025-01,SKU-13,South,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,528,1524.7,497,493,1423.63
2025-01,SKU-13,South,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,501,1446.73,470,477,1377.42
2025-01,SKU-13,South,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,846,2442.98,815,803,2318.81
2025-01,SKU-13,South,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,723,2087.79,692,683,1972.29
2025-01,SKU-13,West,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,444,1323.05,417,419,1248.55
2025-01,SKU-13,West,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,395,1177.04,386,381,1135.32
2025-01,SKU-13,West,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,723,2154.42,692,692,2062.05
2025-01,SKU-13,West,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,622,1853.46,591,582,1734.27
2025-01,SKU-14,Central,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,541,1921.63,510,508,1804.42
2025-01,SKU-14,Central,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,510,1811.52,479,480,1704.96
2025-01,SKU-14,Central,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,856,3040.51,825,818,2905.54
2025-01,SKU-14,Central,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,754,2678.21,723,729,2589.41
2025-01,SKU-14,North,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,510,1902.1,479,481,1793.94
2025-01,SKU-14,North,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,470,1752.91,439,441,1644.75
2025-01,SKU-14,North,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,794,2961.3,763,759,2830.77
2025-01,SKU-14,North,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,692,2580.88,661,649,2420.51
2025-01,SKU-14,South,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,435,1452.41,408,406,1355.59
2025-01,SKU-14,South,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,386,1288.81,377,381,1272.11
2025-01,SKU-14,South,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,692,2310.5,661,666,2223.69
2025-01,SKU-14,South,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,603,2013.34,572,567,1893.14
2025-01,SKU-14,West,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,346,1192.12,346,352,1212.79
2025-01,SKU-14,West,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,315,1085.31,315,312,1074.98
2025-01,SKU-14,West,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,599,2063.82,568,560,1929.45
2025-01,SKU-14,West,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,510,1757.17,479,480,1653.81
2025-01,SKU-15,Central,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,483,2040.19,452,450,1900.8
2025-01,SKU-15,Central,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,462,1951.49,435,430,1816.32
2025-01,SKU-15,Central,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,779,3290.5,748,744,3142.66
2025-01,SKU-15,Central,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,665,2808.96,634,638,2694.91
