promo_id,sku_id,market,channel,start_date,end_date,mechanic,discount_pct,execution_lift_pct,activation_cost_eur,actual_units,baseline_units,unit_uplift_pct,discount_value_eur,incremental_profit_eur,promotion_investment_eur,promotion_roi
PROMO-025,SKU-14,West,Convenience,2025-04-02,2025-04-10,Feature,0.1,0.25,25.15,177,122,0.45082,63.53,25.28,88.68,0.28507
PROMO-026,SKU-01,West,Grocery,2025-04-05,2025-04-14,Display,0.15,0.35,41.19,671,386,0.738342,214.79,134.56,255.98,0.525666
PROMO-027,SKU-14,West,Grocery,2025-04-08,2025-04-18,Bundle,0.2,0.22,56.61,375,232,0.616379,269.18,-29.58,325.79,-0.090795
PROMO-028,SKU-05,West,Convenience,2025-04-11,2025-04-22,Price cut,0.3,0.08,105.33,270,200,0.35,298.57,-247.2,403.9,-0.612033
PROMO-029,SKU-01,Central,Ecommerce,2025-04-14,2025-04-26,Feature,0.1,0.25,111.05,622,427,0.456674,136.84,32.11,247.89,0.129533
PROMO-030,SKU-10,West,Wholesale,2025-04-17,2025-04-25,Display,0.15,0.35,95.46,501,277,0.808664,211.4,93.54,306.86,0.30483
PROMO-031,SKU-02,North,Grocery,2025-04-20,2025-04-29,Bundle,0.2,0.22,59.75,1063,610,0.742623,401.81,112.17,461.56,0.243024
PROMO-032,SKU-07,West,Convenience,2025-04-23,2025-04-30,Price cut,0.3,0.08,42.39,154,114,0.350877,188.22,-132.82,230.61,-0.575951
PROMO-033,SKU-03,North,Ecommerce,2025-05-02,2025-05-10,Display,0.1,0.35,117.45,431,277,0.555957,117.66,41.2,235.11,0.175237
PROMO-034,SKU-08,Central,Wholesale,2025-05-05,2025-05-14,Bundle,0.15,0.22,49.61,411,267,0.539326,302.09,72.77,351.7,0.206909
PROMO-035,SKU-05,Central,Convenience,2025-05-08,2025-05-18,Price cut,0.2,0.08,43.75,474,316,0.5,360.24,-32.59,403.99,-0.08067
PROMO-036,SKU-12,West,Ecommerce,2025-05-11,2025-05-22,Feature,0.3,0.25,75.36,350,213,0.643192,366.66,-148.42,442.02,-0.335777
PROMO-037,SKU-14,Central,Grocery,2025-05-14,2025-05-26,Display,0.1,0.35,81.74,692,450,0.537778,256.04,189.7,337.78,0.561608
PROMO-038,SKU-14,West,Grocery,2025-05-17,2025-05-25,Bundle,0.15,0.22,29.22,318,210,0.514286,171.2,22.99,200.42,0.114709
PROMO-039,SKU-14,West,Convenience,2025-05-20,2025-05-29,Price cut,0.2,0.08,66.99,215,145,0.482759,154.33,-76.53,221.32,-0.345789
PROMO-040,SKU-01,North,Convenience,2025-05-23,2025-05-31,Feature,0.3,0.25,89.43,587,371,0.58221,406.79,-162.6,496.22,-0.327677
PROMO-041,SKU-08,West,Wholesale,2025-06-02,2025-06-10,Bundle,0.1,0.22,94.1,261,181,0.441989,124.05,5.69,218.15,0.026083
PROMO-042,SKU-10,South,Convenience,2025-06-05,2025-06-14,Price cut,0.15,0.08,57.78,460,305,0.508197,188.09,17.31,245.87,0.070403
PROMO-043,SKU-02,South,Wholesale,2025-06-08,2025-06-18,Feature,0.2,0.25,118.85,1165,657,0.773212,394.24,28.96,513.09,0.056442
PROMO-044,SKU-11,West,Ecommerce,2025-06-11,2025-06-22,Display,0.3,0.35,119.57,436,256,0.703125,418.69,-181.67,538.26,-0.337513
PROMO-045,SKU-06,South,Ecommerce,2025-06-14,2025-06-26,Bundle,0.1,0.22,62.95,351,254,0.38189,151.77,25.71,214.72,0.119737
PROMO-046,SKU-07,Central,Wholesale,2025-06-17,2025-06-25,Price cut,0.15,0.08,77.59,412,291,0.415808,259.56,-26.62,337.15,-0.078956
PROMO-047,SKU-04,Central,Grocery,2025-06-20,2025-06-29,Feature,0.2,0.25,113.57,1031,582,0.771478,556.74,102.71,670.31,0.153228
PROMO-048,SKU-07,Central,Convenience,2025-06-23,2025-06-30,Display,0.3,0.35,95.78,282,182,0.549451,355.32,-194.51,451.1,-0.43119
PROMO-049,SKU-07,West,Convenience,2025-07-02,2025-07-10,Price cut,0.1,0.08,63.75,191,147,0.29932,77.81,-34.24,141.56,-0.241876
PROMO-050,SKU-01,Central,Convenience,2025-07-05,2025-07-14,Feature,0.15,0.25,25.5,763,468,0.630342,251.79,145.41,277.29,0.524397
PROMO-051,SKU-06,West,Wholesale,2025-07-08,2025-07-18,Display,0.2,0.35,49.99,490,274,0.788321,437.28,77.49,487.27,0.159029
PROMO-052,SKU-06,Central,Convenience,2025-07-11,2025-07-22,Bundle,0.3,0.22,60.91,467,324,0.441358,644.46,-311.8,705.37,-0.442038
PROMO-053,SKU-15,West,Grocery,2025-07-14,2025-07-26,Price cut,0.1,0.08,41.17,380,299,0.270903,162.18,-11.43,203.35,-0.056209
PROMO-054,SKU-07,North,Convenience,2025-07-17,2025-07-25,Feature,0.15,0.25,38.47,327,209,0.564593,216.31,72.54,254.78,0.284716
PROMO-055,SKU-12,North,Ecommerce,2025-07-20,2025-07-29,Display,0.2,0.35,47.64,486,259,0.876448,367.42,135.75,415.06,0.327061
PROMO-056,SKU-15,West,Ecommerce,2025-07-23,2025-07-31,Bundle,0.3,0.22,68.13,157,118,0.330508,201.02,-176.77,269.15,-0.656771
PROMO-057,SKU-15,North,Convenience,2025-08-02,2025-08-10,Feature,0.1,0.25,32.52,241,166,0.451807,111.34,60.13,143.86,0.417976
PROMO-058,SKU-15,Central,Convenience,2025-08-05,2025-08-14,Display,0.15,0.35,61.87,331,202,0.638614,218.46,42.11,280.33,0.150216
PROMO-059,SKU-07,West,Ecommerce,2025-08-08,2025-08-18,Bundle,0.2,0.22,118.23,249,157,0.585987,202.89,-96.99,321.12,-0.302037
PROMO-060,SKU-01,North,Grocery,2025-08-11,2025-08-22,Price cut,0.3,0.08,84.75,1161,794,0.462217,804.57,-323.61,889.32,-0.363885
PROMO-061,SKU-09,South,Ecommerce,2025-08-14,2025-08-26,Feature,0.1,0.25,53.0,760,508,0.496063,121.45,80.42,174.45,0.460992
PROMO-062,SKU-02,West,Convenience,2025-08-17,2025-08-25,Display,0.15,0.35,25.63,555,320,0.734375,145.35,91.96,170.98,0.537841
PROMO-063,SKU-08,South,Convenience,2025-08-20,2025-08-29,Bundle,0.2,0.22,59.68,285,171,0.666667,262.54,-20.87,322.22,-0.064769
PROMO-064,SKU-01,Central,Wholesale,2025-08-23,2025-08-31,Price cut,0.3,0.08,41.99,818,561,0.458111,539.88,-214.08,581.87,-0.367917
PROMO-065,SKU-08,Central,Ecommerce,2025-09-02,2025-09-10,Display,0.1,0.35,48.25,232,154,0.506494,113.68,67.1,161.93,0.414377
PROMO-066,SKU-13,Central,Grocery,2025-09-05,2025-09-14,Bundle,0.15,0.22,120.89,599,397,0.508816,287.52,-23.78,408.41,-0.058226
PROMO-067,SKU-11,South,Convenience,2025-09-08,2025-09-18,Price cut,0.2,0.08,74.05,399,236,0.690678,247.54,-15.67,321.59,-0.048727
PROMO-068,SKU-05,South,Ecommerce,2025-09-11,2025-09-22,Feature,0.3,0.25,101.65,312,219,0.424658,334.34,-239.42,435.99,-0.549141
PROMO-069,SKU-15,West,Wholesale,2025-09-14,2025-09-26,Display,0.1,0.35,60.79,348,225,0.546667,148.53,81.42,209.32,0.388974
PROMO-070,SKU-03,West,Wholesale,2025-09-17,2025-09-25,Bundle,0.15,0.22,59.81,405,249,0.626506,153.21,33.45,213.02,0.157028
PROMO-071,SKU-04,West,Grocery,2025-09-20,2025-09-29,Price cut,0.2,0.08,105.58,496,307,0.615635,259.8,-56.13,365.38,-0.153621
PROMO-072,SKU-01,West,Grocery,2025-09-23,2025-09-30,Feature,0.3,0.25,114.71,510,319,0.598746,326.5,-180.7,441.21,-0.409556
PROMO-073,SKU-13,North,Grocery,2025-10-02,2025-10-10,Bundle,0.1,0.22,47.25,436,307,0.420195,146.5,72.31,193.75,0.373213
PROMO-074,SKU-15,North,Grocery,2025-10-05,2025-10-14,Price cut,0.15,0.08,86.36,353,256,0.378906,244.63,-67.74,330.99,-0.204659
PROMO-075,SKU-12,South,Wholesale,2025-10-08,2025-10-18,Feature,0.2,0.25,100.3,586,316,0.85443,396.6,49.89,496.9,0.100402
PROMO-076,SKU-01,North,Ecommerce,2025-10-11,2025-10-22,Display,0.3,0.35,110.25,548,340,0.611765,379.76,-169.86,490.01,-0.346646
PROMO-077,SKU-13,West,Convenience,2025-10-14,2025-10-26,Bundle,0.1,0.22,53.91,298,210,0.419048,92.5,12.48,146.41,0.08524
PROMO-078,SKU-15,South,Convenience,2025-10-17,2025-10-25,Price cut,0.15,0.08,53.49,181,131,0.381679,112.29,-54.34,165.78,-0.327784
PROMO-079,SKU-11,North,Ecommerce,2025-10-20,2025-10-29,Feature,0.2,0.25,112.42,416,232,0.793103,288.29,10.96,400.71,0.027351
PROMO-080,SKU-09,South,Grocery,2025-10-23,2025-10-31,Display,0.3,0.35,25.58,944,536,0.761194,452.55,-66.28,478.13,-0.138623
PROMO-081,SKU-12,South,Convenience,2025-11-02,2025-11-10,Price cut,0.1,0.08,62.17,262,191,0.371728,88.66,-7.16,150.83,-0.047471
PROMO-082,SKU-10,North,Grocery,2025-11-05,2025-11-14,Feature,0.15,0.25,41.98,888,523,0.697897,405.59,285.81,447.57,0.638582
PROMO-083,SKU-01,South,Wholesale,2025-11-08,2025-11-18,Display,0.2,0.35,43.48,885,474,0.867089,366.04,123.21,409.52,0.300864
PROMO-084,SKU-09,Central,Convenience,2025-11-11,2025-11-22,Bundle,0.3,0.22,34.22,981,593,0.6543,500.31,-103.52,534.53,-0.193665
PROMO-085,SKU-05,North,Wholesale,2025-11-14,2025-11-26,Price cut,0.1,0.08,92.02,592,456,0.298246,236.21,15.45,328.23,0.047071
PROMO-086,SKU-02,Central,Ecommerce,2025-11-17,2025-11-25,Feature,0.15,0.25,90.1,590,370,0.594595,159.3,8.02,249.4,0.032157
PROMO-087,SKU-11,South,Grocery,2025-11-20,2025-11-29,Display,0.2,0.35,42.45,773,396,0.95202,479.57,183.9,522.02,0.352285
PROMO-088,SKU-16,Central,Convenience,2025-11-23,2025-11-30,Bundle,0.3,0.22,69.72,268,192,0.395833,249.24,-174.5,318.96,-0.547091
PROMO-089,SKU-13,Central,Wholesale,2025-12-02,2025-12-10,Feature,0.1,0.25,123.47,532,367,0.449591,170.24,19.56,293.71,0.066596
PROMO-090,SKU-06,Central,Grocery,2025-12-05,2025-12-14,Display,0.15,0.35,92.23,756,454,0.665198,521.64,213.34,613.87,0.347533
PROMO-091,SKU-13,South,Convenience,2025-12-08,2025-12-18,Bundle,0.2,0.22,102.68,390,244,0.598361,234.62,-88.21,337.3,-0.261518
PROMO-092,SKU-15,West,Ecommerce,2025-12-11,2025-12-22,Price cut,0.3,0.08,38.46,203,163,0.245399,259.92,-204.16,298.38,-0.684228
PROMO-093,SKU-03,South,Ecommerce,2025-12-14,2025-12-26,Feature,0.1,0.25,69.67,485,333,0.456456,118.53,39.46,188.2,0.209671
PROMO-094,SKU-05,South,Convenience,2025-12-17,2025-12-25,Display,0.15,0.35,86.35,350,213,0.643192,187.53,14.76,273.88,0.053892
PROMO-095,SKU-06,Central,Wholesale,2025-12-20,2025-12-29,Bundle,0.2,0.22,83.6,632,384,0.645833,581.44,13.92,665.04,0.020931
PROMO-096,SKU-14,West,Wholesale,2025-12-23,2025-12-31,Price cut,0.3,0.08,111.81,271,206,0.315534,291.79,-270.2,403.6,-0.669475
PROMO-097,SKU-08,Central,Convenience,2026-01-02,2026-01-10,Display,0.1,0.35,39.01,229,146,0.568493,112.21,91.52,151.22,0.605211
PROMO-098,SKU-15,Central,Ecommerce,2026-01-05,2026-01-14,Bundle,0.15,0.22,90.93,210,145,0.448276,138.6,-67.98,229.53,-0.29617
PROMO-099,SKU-04,South,Grocery,2026-01-08,2026-01-18,Price cut,0.2,0.08,33.31,531,329,0.613982,269.54,10.25,302.85,0.033845
PROMO-100,SKU-01,South,Grocery,2026-01-11,2026-01-22,Feature,0.3,0.25,26.4,752,472,0.59322,466.54,-130.69,492.94,-0.265124
PROMO-101,SKU-08,North,Wholesale,2026-01-14,2026-01-26,Display,0.1,0.35,102.97,435,277,0.570397,223.81,173.81,326.78,0.531887
PROMO-102,SKU-08,Central,Ecommerce,2026-01-17,2026-01-25,Bundle,0.15,0.22,51.85,202,137,0.474453,148.47,-10.31,200.32,-0.051468
PROMO-103,SKU-16,South,Grocery,2026-01-20,2026-01-29,Price cut,0.2,0.08,89.88,355,240,0.479167,206.89,-99.96,296.77,-0.336826
PROMO-104,SKU-10,Central,Grocery,2026-01-23,2026-01-31,Feature,0.3,0.25,76.78,710,423,0.678487,617.7,-160.56,694.48,-0.231195
PROMO-105,SKU-07,North,Convenience,2026-02-02,2026-02-10,Bundle,0.1,0.22,97.74,226,157,0.43949,99.67,-7.11,197.41,-0.036016
PROMO-106,SKU-05,West,Ecommerce,2026-02-05,2026-02-14,Price cut,0.15,0.08,120.59,191,143,0.335664,105.6,-119.76,226.19,-0.529466
PROMO-107,SKU-04,West,Convenience,2026-02-08,2026-02-18,Feature,0.2,0.25,78.24,318,178,0.786517,166.57,-16.68,244.81,-0.068134
PROMO-108,SKU-07,South,Wholesale,2026-02-11,2026-02-22,Display,0.3,0.35,27.58,411,263,0.562738,486.79,-174.69,514.37,-0.339619
PROMO-109,SKU-04,West,Grocery,2026-02-14,2026-02-26,Bundle,0.1,0.22,71.44,508,341,0.489736,133.05,67.58,204.49,0.330481
PROMO-110,SKU-13,West,Wholesale,2026-02-17,2026-02-25,Price cut,0.15,0.08,58.96,263,190,0.384211,122.45,-50.18,181.41,-0.276611
PROMO-111,SKU-04,West,Wholesale,2026-02-20,2026-02-28,Feature,0.2,0.25,56.74,391,219,0.785388,204.81,18.63,261.55,0.071229
PROMO-112,SKU-12,West,Ecommerce,2026-02-23,2026-02-28,Display,0.3,0.35,36.62,155,91,0.703297,162.38,-63.05,199.0,-0.316834
PROMO-113,SKU-11,West,Wholesale,2026-03-02,2026-03-10,Price cut,0.1,0.08,94.8,317,228,0.390351,101.47,-21.35,196.27,-0.108779
PROMO-114,SKU-02,South,Ecommerce,2026-03-05,2026-03-14,Feature,0.15,0.25,47.61,489,308,0.587662,124.11,19.92,171.72,0.116003
PROMO-115,SKU-09,North,Ecommerce,2026-03-08,2026-03-18,Display,0.2,0.35,78.42,801,425,0.884706,285.96,84.01,364.38,0.230556
PROMO-116,SKU-11,South,Convenience,2026-03-11,2026-03-22,Bundle,0.3,0.22,107.84,426,259,0.644788,396.44,-192.69,504.28,-0.382109
PROMO-117,SKU-10,South,Convenience,2026-03-14,2026-03-26,Price cut,0.1,0.08,110.0,458,333,0.375375,124.85,-24.39,234.85,-0.103854
PROMO-118,SKU-08,South,Wholesale,2026-03-17,2026-03-25,Feature,0.15,0.25,112.66,303,191,0.586387,209.34,-28.17,322.0,-0.087484
PROMO-119,SKU-06,North,Ecommerce,2026-03-20,2026-03-29,Display,0.2,0.35,87.31,337,195,0.728205,325.54,7.41,412.85,0.017948
PROMO-120,SKU-06,West,Ecommerce,2026-03-23,2026-03-31,Bundle,0.3,0.22,46.49,171,122,0.401639,228.9,-148.41,275.39,-0.538908
PROMO-121,SKU-02,West,Convenience,2026-04-02,2026-04-10,Feature,0.1,0.25,78.84,380,254,0.496063,66.35,-5.08,145.19,-0.034989
PROMO-122,SKU-03,South,Grocery,2026-04-05,2026-04-14,Display,0.3,0.35,109.59,654,392,0.668367,479.51,-198.0,589.1,-0.336106
PROMO-123,SKU-07,South,Wholesale,2026-04-08,2026-04-18,Bundle,0.3,0.22,101.6,395,269,0.468401,467.84,-280.81,569.44,-0.493134
PROMO-124,SKU-15,North,Convenience,2026-04-11,2026-04-22,Price cut,0.3,0.08,89.01,274,208,0.317308,379.76,-290.81,468.77,-0.620368
PROMO-125,SKU-07,North,Wholesale,2026-04-14,2026-04-26,Feature,0.1,0.25,36.36,529,359,0.473538,233.29,198.21,269.65,0.735064
PROMO-126,SKU-05,South,Grocery,2026-04-17,2026-04-25,Display,0.15,0.35,73.38,496,297,0.670034,265.76,78.42,339.14,0.231232
PROMO-127,SKU-07,North,Grocery,2026-04-20,2026-04-29,Bundle,0.2,0.22,63.95,532,323,0.647059,469.22,41.94,533.17,0.078662
PROMO-128,SKU-13,West,Convenience,2026-04-23,2026-04-30,Price cut,0.3,0.08,72.06,171,130,0.315385,159.24,-157.75,231.3,-0.682015
PROMO-129,SKU-12,North,Convenience,2026-05-02,2026-05-10,Display,0.1,0.35,63.02,388,238,0.630252,146.66,151.46,209.68,0.722339
PROMO-130,SKU-12,South,Convenience,2026-05-05,2026-05-14,Bundle,0.3,0.22,75.97,390,237,0.64557,395.93,-164.15,471.9,-0.347849
PROMO-131,SKU-11,South,Convenience,2026-05-08,2026-05-18,Price cut,0.3,0.08,104.25,423,277,0.527076,393.64,-225.99,497.89,-0.453895
PROMO-132,SKU-04,South,Ecommerce,2026-05-11,2026-05-22,Feature,0.3,0.25,38.41,471,304,0.549342,358.62,-139.17,397.03,-0.350528
PROMO-133,SKU-13,West,Wholesale,2026-05-14,2026-05-26,Display,0.1,0.35,92.18,499,322,0.549689,154.89,70.15,247.07,0.283928
PROMO-134,SKU-08,South,Grocery,2026-05-17,2026-05-25,Bundle,0.15,0.22,118.65,375,242,0.549587,259.09,-29.59,377.74,-0.078334
PROMO-135,SKU-16,West,Ecommerce,2026-05-20,2026-05-29,Price cut,0.2,0.08,81.34,219,154,0.422078,131.71,-96.22,213.05,-0.451631
PROMO-136,SKU-07,South,Wholesale,2026-05-23,2026-05-31,Feature,0.3,0.25,123.06,193,130,0.484615,228.59,-207.56,351.65,-0.590246
PROMO-137,SKU-10,South,Convenience,2026-06-02,2026-06-10,Bundle,0.3,0.22,32.34,448,272,0.647059,366.37,-103.07,398.71,-0.258509
PROMO-138,SKU-13,West,Convenience,2026-06-05,2026-06-14,Price cut,0.15,0.08,39.75,252,182,0.384615,117.33,-31.72,157.08,-0.201935
PROMO-139,SKU-15,West,Convenience,2026-06-08,2026-06-18,Feature,0.2,0.25,100.61,252,154,0.636364,215.11,-86.49,315.72,-0.273945
PROMO-140,SKU-11,Central,Ecommerce,2026-06-11,2026-06-22,Display,0.3,0.35,97.54,627,368,0.703804,620.73,-185.17,718.27,-0.2578
PROMO-141,SKU-07,North,Grocery,2026-06-14,2026-06-26,Bundle,0.1,0.22,34.2,647,451,0.43459,285.33,218.93,319.53,0.685163
PROMO-142,SKU-10,South,Wholesale,2026-06-17,2026-06-25,Price cut,0.15,0.08,106.16,594,389,0.526992,242.89,-4.84,349.05,-0.013866
PROMO-143,SKU-10,South,Grocery,2026-06-20,2026-06-29,Feature,0.2,0.25,63.54,936,505,0.853465,510.31,149.74,573.85,0.260939
PROMO-144,SKU-16,Central,Convenience,2026-06-23,2026-06-30,Display,0.3,0.35,40.57,310,205,0.512195,288.3,-130.58,328.87,-0.397057
